ASEAN Food ID,Food and Description,ENERC (ENERC),WATER,PROCNT,FAT,CHOVLDF (CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
AAT254,"Moon's cake, lotus seed filling",384,20.7,5.8,14.8,55.6,2.4,0.7,45,-,40,-,1.1,-,-,0,-,0,-,-,-,-
AAT430,Taro ball in coconut milk,150,66.2,0.8,4.1,26.5,1.7,0.7,4,24,-,-,-,-,-,-,-,-,-,-,0.3,-
AAT431,Taro in coconut milk,133,70.6,1,4.5,21.6,0.9,1.4,25,-,112,-,0.8,-,-,-,-,-,-,-,-,-
AAU21,"Bamboo caterpillar, raw",-,60,15.3,-,-,-,-,42,155,14,139,1.8,-,-,-,-,-,0.12,1.05,0.9,-
AAU22,"Bamboo caterpillar, deep fried",644,4.5,25.5,55.3,11,0p,3.7,4,356,609,674,2.7,-,-,-,-,-,-,-,-,-
AAU26,"Bird nest, in sealed bottle",69,82.5,0.5,0,16.8,0,0.2,55,-,5,-,0.2,-,-,-,-,-,0,0.02,-,-
AAU23,"Buffalo dung beetle, blanched",125,68.4,17.2,4.3,1.3,5.9,2.9,31,158,293,288,7.7,-,-,-,-,-,0.19,1.09,3.4,-
AAU57,"Chicken essence, 100 ml.",32,93.7,8.1,0,0,0,0.8,6,-,122,-,0.5,-,-,-,-,-,0,0.05,-,-
AAU40,"Creamer, non-dairy",471,2.9,3.2,18.4,73.1,0,2.4,19,295,104,788,0.5,-,-,12,8,13,0,0.06,0.5,0
AAU33,Cricket,127,71.4,12.9,5.5,4.6,3.5,2.1,76,185,87,306,9.5,-,-,-,-,-,0.36,1.91,3.1,-
AAU35,Giant water bug,174,63.2,19.8,8.3,2.8,4.3,1.6,44,226,84,192,13.6,-,-,-,-,-,0.09,1.5,3.9,-
AAU36,"Hornet, young",(141),71.7,13.7,6.3,(7.4),-,0.9,61,142,-,-,-,-,-,0,205,17,0.01,-,3,-
AAU24,June beetle,88,74.1,13.4,1.4,2.9,5,3.2,23,207,465,463,6.4,-,-,-,-,-,0.29,1.19,4,-
AAU37,Locust,97,76.7,14.3,3.3,0.6,4,1.1,28,150,32,217,3,-,-,-,-,-,0.19,1.5,3.9,-
AAU39,Mole cricket,130,71.2,15.4,6.3,1.5,2.9,2.7,76,254,97,268,41.7,-,-,-,-,-,0.2,1.89,4.8,-
AAU43,Red ant,111,74,13.9,3.5,5.1,1.8,1.7,48,206,56,222,5.7,-,-,-,-,-,0.24,0.88,3.4,-
AAU44,"Red ant, egg",83,81.9,7,3.2,5.6,1.7,0.6,8,113,28,96,4.1,-,-,-,-,-,0.15,0.19,0.9,-
AAU45,"Red ant, young female",189,66.1,12.7,12.5,5.2,2.5,1,23,173,50,168,3.4,-,-,-,-,-,0.31,0.71,3.3,-
AAU48,"Silk worm, pupae",123,75.3,12.2,7,1.8,2,1.7,42,167,14,139,1.8,-,-,-,-,-,0.12,1.05,0.9,-
AAU50,"Spirulina, dried",359,6.3,62.3,6.5,8,9.6,7.3,346,709,847,1091,37.6,0.8,1.7,0,-,-,1.95,2.53,16.5,-
AAU51,"Spirulina, fresh",45,89.1,7.5,0.8,0p,4.1,1,50,86,84,122,3.9,0,0.2,0,-,-,0.33,0.38,1,-
AAU25,True water beetle,166,61.2,21,7.1,1.3,6.6,2.8,37,205,62,198,6.4,-,-,-,-,-,0.31,3.51,6.9,-
